,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,sector,start_period1,start_period2
172,HOMICIDIO DOLOSO,N-2.1.8,-4,2020-05,2021-05,4,0,13596.0,ARAGON,2019-06,2020-06
173,HOMICIDIO DOLOSO,N-2.1.9,0,2020-05,2021-05,3,3,26049.0,ARAGON,2019-06,2020-06
174,HOMICIDIO DOLOSO,N-2.2.1,1,2020-05,2021-05,0,1,1833.0,CUCHILLA,2019-06,2020-06
175,HOMICIDIO DOLOSO,N-2.2.2,0,2020-05,2021-05,0,0,4540.0,CUCHILLA,2019-06,2020-06
176,HOMICIDIO DOLOSO,N-2.2.3,0,2020-05,2021-05,1,1,14307.0,CUCHILLA,2019-06,2020-06
177,HOMICIDIO DOLOSO,N-2.2.4,1,2020-05,2021-05,1,2,20511.0,CUCHILLA,2019-06,2020-06
178,HOMICIDIO DOLOSO,N-2.2.5,-2,2020-05,2021-05,2,0,11127.0,CUCHILLA,2019-06,2020-06
179,HOMICIDIO DOLOSO,N-2.2.6,0,2020-05,2021-05,1,1,10725.0,CUCHILLA,2019-06,2020-06
180,HOMICIDIO DOLOSO,N-2.2.7,0,2020-05,2021-05,2,2,14550.0,CUCHILLA,2019-06,2020-06
181,HOMICIDIO DOLOSO,N-2.2.8,1,2020-05,2021-05,1,2,16109.0,CUCHILLA,2019-06,2020-06
182,HOMICIDIO DOLOSO,N-2.3.1,0,2020-05,2021-05,2,2,14928.0,PRADERA,2019-06,2020-06
183,HOMICIDIO DOLOSO,N-2.3.10,1,2020-05,2021-05,2,3,12054.0,PRADERA,2019-06,2020-06
184,HOMICIDIO DOLOSO,N-2.3.11,-3,2020-05,2021-05,4,1,19534.0,PRADERA,2019-06,2020-06
185,HOMICIDIO DOLOSO,N-2.3.2,1,2020-05,2021-05,3,4,14185.0,PRADERA,2019-06,2020-06
186,HOMICIDIO DOLOSO,N-2.3.3,-3,2020-05,2021-05,4,1,16158.0,PRADERA,2019-06,2020-06
187,HOMICIDIO DOLOSO,N-2.3.4,-3,2020-05,2021-05,3,0,11936.0,PRADERA,2019-06,2020-06
188,HOMICIDIO DOLOSO,N-2.3.5,1,2020-05,2021-05,0,1,15008.0,PRADERA,2019-06,2020-06
189,HOMICIDIO DOLOSO,N-2.3.6,-1,2020-05,2021-05,4,3,23998.0,PRADERA,2019-06,2020-06
190,HOMICIDIO DOLOSO,N-2.3.7,-1,2020-05,2021-05,2,1,36217.0,PRADERA,2019-06,2020-06
191,HOMICIDIO DOLOSO,N-2.3.8,-1,2020-05,2021-05,3,2,21034.0,PRADERA,2019-06,2020-06
192,HOMICIDIO DOLOSO,N-2.3.9,0,2020-05,2021-05,4,4,22556.0,PRADERA,2019-06,2020-06
193,HOMICIDIO DOLOSO,N-2.4.1,0,2020-05,2021-05,0,0,11018.0,QUIROGA,2019-06,2020-06
194,HOMICIDIO DOLOSO,N-2.4.10,-6,2020-05,2021-05,8,2,15962.0,QUIROGA,2019-06,2020-06
195,HOMICIDIO DOLOSO,N-2.4.2,0,2020-05,2021-05,0,0,9456.0,QUIROGA,2019-06,2020-06
196,HOMICIDIO DOLOSO,N-2.4.3,-4,2020-05,2021-05,4,0,15138.0,QUIROGA,2019-06,2020-06
197,HOMICIDIO DOLOSO,N-2.4.4,2,2020-05,2021-05,0,2,20536.0,QUIROGA,2019-06,2020-06
198,HOMICIDIO DOLOSO,N-2.4.5,-3,2020-05,2021-05,5,2,18305.0,QUIROGA,2019-06,2020-06
199,HOMICIDIO DOLOSO,N-2.4.6,1,2020-05,2021-05,3,4,30408.0,QUIROGA,2019-06,2020-06
200,HOMICIDIO DOLOSO,N-2.4.7,-2,2020-05,2021-05,2,0,3200.0,QUIROGA,2019-06,2020-06
201,HOMICIDIO DOLOSO,N-2.4.8,2,2020-05,2021-05,2,4,14356.0,QUIROGA,2019-06,2020-06
202,HOMICIDIO DOLOSO,N-2.4.9,-3,2020-05,2021-05,8,5,13509.0,QUIROGA,2019-06,2020-06
203,HOMICIDIO DOLOSO,N-3.1.1,0,2020-05,2021-05,1,1,13255.0,IZTACCIHUATL,2019-06,2020-06
204,HOMICIDIO DOLOSO,N-3.1.2,2,2020-05,2021-05,2,4,11590.0,IZTACCIHUATL,2019-06,2020-06
205,HOMICIDIO DOLOSO,N-3.1.3,1,2020-05,2021-05,0,1,13750.0,IZTACCIHUATL,2019-06,2020-06
206,HOMICIDIO DOLOSO,N-3.1.4,0,2020-05,2021-05,0,0,4650.0,IZTACCIHUATL,2019-06,2020-06
207,HOMICIDIO DOLOSO,N-3.1.5,1,2020-05,2021-05,0,1,6083.0,IZTACCIHUATL,2019-06,2020-06
208,HOMICIDIO DOLOSO,N-3.1.6,1,2020-05,2021-05,1,2,16512.0,IZTACCIHUATL,2019-06,2020-06
209,HOMICIDIO DOLOSO,N-3.1.7,-1,2020-05,2021-05,3,2,13928.0,IZTACCIHUATL,2019-06,2020-06
