,crime,cuadrante,difference,end_period1,end_period2,period1_count,period2_count,population,rank,sector,start_period1,start_period2
129,ROBO A TRANSPORTISTA C.V.,(NO ESPECIFICADO),10,2020-05,2021-05,9,19,,1,NO ESPECIFICADO,2019-06,2020-06
130,ROBO A TRANSPORTISTA C.V.,P-2.4.5,4,2020-05,2021-05,0,4,14968.0,2,LA RAZA,2019-06,2020-06
131,ROBO A TRANSPORTISTA C.V.,O-2.4.2,3,2020-05,2021-05,0,3,8860.0,3,TEOTONGO,2019-06,2020-06
132,ROBO A TRANSPORTISTA C.V.,N-2.1.7,2,2020-05,2021-05,3,5,11016.0,4,ARAGON,2019-06,2020-06
133,ROBO A TRANSPORTISTA C.V.,N-4.6.6,2,2020-05,2021-05,0,2,10409.0,4,MOCTEZUMA,2019-06,2020-06
134,ROBO A TRANSPORTISTA C.V.,P-2.2.3,2,2020-05,2021-05,0,2,8946.0,4,CUITLAHUAC,2019-06,2020-06
135,ROBO A TRANSPORTISTA S.V.,N-4.6.5,1,2020-05,2021-05,0,1,11633.0,1,MOCTEZUMA,2019-06,2020-06
136,ROBO A TRANSPORTISTA S.V.,(NO ESPECIFICADO),1,2020-05,2021-05,0,1,,1,NO ESPECIFICADO,2019-06,2020-06
137,ROBO A TRANSPORTISTA S.V.,O-2.1.21,1,2020-05,2021-05,0,1,8359.0,1,OASIS,2019-06,2020-06
138,ROBO A TRANSPORTISTA S.V.,P-2.2.9,1,2020-05,2021-05,0,1,11851.0,1,CUITLAHUAC,2019-06,2020-06
139,ROBO A TRANSPORTISTA S.V.,P-2.4.1,1,2020-05,2021-05,0,1,2034.0,1,LA RAZA,2019-06,2020-06
140,ROBO A TRANSPORTISTA S.V.,S-3.5.14,1,2020-05,2021-05,0,1,33196.0,1,HUIPULCO-HOSPITALES,2019-06,2020-06
141,ROBO DE VEHICULO AUTOMOTOR C.V.,O-2.3.10,18,2020-05,2021-05,6,24,37989.0,1,SANTA CRUZ,2019-06,2020-06
142,ROBO DE VEHICULO AUTOMOTOR C.V.,S-3.5.14,17,2020-05,2021-05,13,30,33196.0,2,HUIPULCO-HOSPITALES,2019-06,2020-06
143,ROBO DE VEHICULO AUTOMOTOR C.V.,O-3.1.1,8,2020-05,2021-05,1,9,24021.0,3,MILPA ALTA,2019-06,2020-06
144,ROBO DE VEHICULO AUTOMOTOR C.V.,S-3.6.1,8,2020-05,2021-05,3,11,17498.0,3,PADIERNA,2019-06,2020-06
145,ROBO DE VEHICULO AUTOMOTOR C.V.,N-2.1.3,7,2020-05,2021-05,7,14,10785.0,5,ARAGON,2019-06,2020-06
146,ROBO DE VEHICULO AUTOMOTOR C.V.,N-2.1.6,7,2020-05,2021-05,10,17,14858.0,5,ARAGON,2019-06,2020-06
147,ROBO DE VEHICULO AUTOMOTOR C.V.,O-1.2.10,7,2020-05,2021-05,4,11,8475.0,5,ABASTO-REFORMA,2019-06,2020-06
148,ROBO DE VEHICULO AUTOMOTOR C.V.,O-1.2.12,7,2020-05,2021-05,1,8,10610.0,5,ABASTO-REFORMA,2019-06,2020-06
149,ROBO DE VEHICULO AUTOMOTOR C.V.,O-1.2.13,7,2020-05,2021-05,4,11,12248.0,5,ABASTO-REFORMA,2019-06,2020-06
150,ROBO DE VEHICULO AUTOMOTOR C.V.,P-1.1.6,7,2020-05,2021-05,4,11,10315.0,5,ALPES,2019-06,2020-06
151,ROBO DE VEHICULO AUTOMOTOR S.V.,O-3.5.9,17,2020-05,2021-05,7,24,15520.0,1,LA NORIA,2019-06,2020-06
152,ROBO DE VEHICULO AUTOMOTOR S.V.,P-1.2.11,16,2020-05,2021-05,20,36,17467.0,2,PLATEROS,2019-06,2020-06
153,ROBO DE VEHICULO AUTOMOTOR S.V.,O-3.4.2,15,2020-05,2021-05,10,25,28394.0,3,ZAPOTITLA,2019-06,2020-06
154,ROBO DE VEHICULO AUTOMOTOR S.V.,N-2.2.6,12,2020-05,2021-05,7,19,10725.0,4,CUCHILLA,2019-06,2020-06
155,ROBO DE VEHICULO AUTOMOTOR S.V.,O-2.2.13,11,2020-05,2021-05,8,19,15047.0,5,QUETZAL,2019-06,2020-06
156,ROBO DE VEHICULO AUTOMOTOR S.V.,O-2.5.11,11,2020-05,2021-05,11,22,29794.0,5,TEZONCO,2019-06,2020-06
