,count,crime,end_date,hour,start_date
294,90,ROBO A TRANSEUNTE S.V.,2021-05,10,2020-06
295,114,ROBO A TRANSEUNTE S.V.,2021-05,11,2020-06
296,125,ROBO A TRANSEUNTE S.V.,2021-05,12,2020-06
297,80,ROBO A TRANSEUNTE S.V.,2021-05,13,2020-06
298,88,ROBO A TRANSEUNTE S.V.,2021-05,14,2020-06
299,97,ROBO A TRANSEUNTE S.V.,2021-05,15,2020-06
300,73,ROBO A TRANSEUNTE S.V.,2021-05,16,2020-06
301,75,ROBO A TRANSEUNTE S.V.,2021-05,17,2020-06
302,52,ROBO A TRANSEUNTE S.V.,2021-05,18,2020-06
303,48,ROBO A TRANSEUNTE S.V.,2021-05,19,2020-06
304,53,ROBO A TRANSEUNTE S.V.,2021-05,20,2020-06
305,43,ROBO A TRANSEUNTE S.V.,2021-05,21,2020-06
306,30,ROBO A TRANSEUNTE S.V.,2021-05,22,2020-06
307,28,ROBO A TRANSEUNTE S.V.,2021-05,23,2020-06
308,2,ROBO A CUENTAHABIENTE C.V.,2021-05,00,2020-06
309,4,ROBO A CUENTAHABIENTE C.V.,2021-05,01,2020-06
310,1,ROBO A CUENTAHABIENTE C.V.,2021-05,02,2020-06
311,1,ROBO A CUENTAHABIENTE C.V.,2021-05,03,2020-06
312,2,ROBO A CUENTAHABIENTE C.V.,2021-05,04,2020-06
313,3,ROBO A CUENTAHABIENTE C.V.,2021-05,06,2020-06
314,5,ROBO A CUENTAHABIENTE C.V.,2021-05,07,2020-06
315,4,ROBO A CUENTAHABIENTE C.V.,2021-05,08,2020-06
316,4,ROBO A CUENTAHABIENTE C.V.,2021-05,09,2020-06
317,25,ROBO A CUENTAHABIENTE C.V.,2021-05,10,2020-06
318,43,ROBO A CUENTAHABIENTE C.V.,2021-05,11,2020-06
319,46,ROBO A CUENTAHABIENTE C.V.,2021-05,12,2020-06
320,55,ROBO A CUENTAHABIENTE C.V.,2021-05,13,2020-06
321,41,ROBO A CUENTAHABIENTE C.V.,2021-05,14,2020-06
322,48,ROBO A CUENTAHABIENTE C.V.,2021-05,15,2020-06
323,31,ROBO A CUENTAHABIENTE C.V.,2021-05,16,2020-06
324,13,ROBO A CUENTAHABIENTE C.V.,2021-05,17,2020-06
325,7,ROBO A CUENTAHABIENTE C.V.,2021-05,18,2020-06
326,8,ROBO A CUENTAHABIENTE C.V.,2021-05,19,2020-06
327,9,ROBO A CUENTAHABIENTE C.V.,2021-05,20,2020-06
328,5,ROBO A CUENTAHABIENTE C.V.,2021-05,21,2020-06
329,5,ROBO A CUENTAHABIENTE C.V.,2021-05,22,2020-06
330,4,ROBO A CUENTAHABIENTE C.V.,2021-05,23,2020-06
331,7,ROBO A REPARTIDOR C.V.,2021-05,00,2020-06
332,7,ROBO A REPARTIDOR C.V.,2021-05,01,2020-06
333,2,ROBO A REPARTIDOR C.V.,2021-05,02,2020-06
334,3,ROBO A REPARTIDOR C.V.,2021-05,03,2020-06
335,7,ROBO A REPARTIDOR C.V.,2021-05,04,2020-06
336,16,ROBO A REPARTIDOR C.V.,2021-05,05,2020-06
337,18,ROBO A REPARTIDOR C.V.,2021-05,06,2020-06
338,21,ROBO A REPARTIDOR C.V.,2021-05,07,2020-06
339,50,ROBO A REPARTIDOR C.V.,2021-05,08,2020-06
340,110,ROBO A REPARTIDOR C.V.,2021-05,09,2020-06
341,166,ROBO A REPARTIDOR C.V.,2021-05,10,2020-06
342,163,ROBO A REPARTIDOR C.V.,2021-05,11,2020-06
343,195,ROBO A REPARTIDOR C.V.,2021-05,12,2020-06
344,195,ROBO A REPARTIDOR C.V.,2021-05,13,2020-06
345,174,ROBO A REPARTIDOR C.V.,2021-05,14,2020-06
346,156,ROBO A REPARTIDOR C.V.,2021-05,15,2020-06
347,121,ROBO A REPARTIDOR C.V.,2021-05,16,2020-06
