,count,crime,cuadrante,end_date,population,sector,start_date
150,2,HOMICIDIO DOLOSO,N-1.3.4,2021-05,7819.0,TICOMAN,2020-06
151,0,HOMICIDIO DOLOSO,N-1.3.5,2021-05,9553.0,TICOMAN,2020-06
152,1,HOMICIDIO DOLOSO,N-1.3.6,2021-05,11019.0,TICOMAN,2020-06
153,0,HOMICIDIO DOLOSO,N-1.3.7,2021-05,5652.0,TICOMAN,2020-06
154,2,HOMICIDIO DOLOSO,N-1.3.8,2021-05,9672.0,TICOMAN,2020-06
155,0,HOMICIDIO DOLOSO,N-1.3.9,2021-05,5479.0,TICOMAN,2020-06
156,0,HOMICIDIO DOLOSO,N-1.4.1,2021-05,6526.0,TEPEYAC,2020-06
157,3,HOMICIDIO DOLOSO,N-1.4.2,2021-05,4412.0,TEPEYAC,2020-06
158,1,HOMICIDIO DOLOSO,N-1.4.3,2021-05,9609.0,TEPEYAC,2020-06
159,0,HOMICIDIO DOLOSO,N-1.4.4,2021-05,9176.0,TEPEYAC,2020-06
160,0,HOMICIDIO DOLOSO,N-1.4.5,2021-05,3975.0,TEPEYAC,2020-06
161,0,HOMICIDIO DOLOSO,N-1.4.6,2021-05,9435.0,TEPEYAC,2020-06
162,0,HOMICIDIO DOLOSO,N-1.4.7,2021-05,8722.0,TEPEYAC,2020-06
163,1,HOMICIDIO DOLOSO,N-1.4.8,2021-05,9420.0,TEPEYAC,2020-06
164,1,HOMICIDIO DOLOSO,N-1.4.9,2021-05,8503.0,TEPEYAC,2020-06
165,6,HOMICIDIO DOLOSO,N-2.1.1,2021-05,30506.0,ARAGON,2020-06
166,4,HOMICIDIO DOLOSO,N-2.1.2,2021-05,14445.0,ARAGON,2020-06
167,1,HOMICIDIO DOLOSO,N-2.1.3,2021-05,10785.0,ARAGON,2020-06
168,1,HOMICIDIO DOLOSO,N-2.1.4,2021-05,13015.0,ARAGON,2020-06
169,2,HOMICIDIO DOLOSO,N-2.1.5,2021-05,12995.0,ARAGON,2020-06
170,0,HOMICIDIO DOLOSO,N-2.1.6,2021-05,14858.0,ARAGON,2020-06
171,2,HOMICIDIO DOLOSO,N-2.1.7,2021-05,11016.0,ARAGON,2020-06
172,0,HOMICIDIO DOLOSO,N-2.1.8,2021-05,13596.0,ARAGON,2020-06
173,3,HOMICIDIO DOLOSO,N-2.1.9,2021-05,26049.0,ARAGON,2020-06
174,1,HOMICIDIO DOLOSO,N-2.2.1,2021-05,1833.0,CUCHILLA,2020-06
175,0,HOMICIDIO DOLOSO,N-2.2.2,2021-05,4540.0,CUCHILLA,2020-06
176,1,HOMICIDIO DOLOSO,N-2.2.3,2021-05,14307.0,CUCHILLA,2020-06
177,2,HOMICIDIO DOLOSO,N-2.2.4,2021-05,20511.0,CUCHILLA,2020-06
178,0,HOMICIDIO DOLOSO,N-2.2.5,2021-05,11127.0,CUCHILLA,2020-06
179,1,HOMICIDIO DOLOSO,N-2.2.6,2021-05,10725.0,CUCHILLA,2020-06
180,2,HOMICIDIO DOLOSO,N-2.2.7,2021-05,14550.0,CUCHILLA,2020-06
181,2,HOMICIDIO DOLOSO,N-2.2.8,2021-05,16109.0,CUCHILLA,2020-06
182,2,HOMICIDIO DOLOSO,N-2.3.1,2021-05,14928.0,PRADERA,2020-06
183,3,HOMICIDIO DOLOSO,N-2.3.10,2021-05,12054.0,PRADERA,2020-06
184,1,HOMICIDIO DOLOSO,N-2.3.11,2021-05,19534.0,PRADERA,2020-06
185,4,HOMICIDIO DOLOSO,N-2.3.2,2021-05,14185.0,PRADERA,2020-06
186,1,HOMICIDIO DOLOSO,N-2.3.3,2021-05,16158.0,PRADERA,2020-06
187,0,HOMICIDIO DOLOSO,N-2.3.4,2021-05,11936.0,PRADERA,2020-06
188,1,HOMICIDIO DOLOSO,N-2.3.5,2021-05,15008.0,PRADERA,2020-06
189,3,HOMICIDIO DOLOSO,N-2.3.6,2021-05,23998.0,PRADERA,2020-06
190,1,HOMICIDIO DOLOSO,N-2.3.7,2021-05,36217.0,PRADERA,2020-06
191,2,HOMICIDIO DOLOSO,N-2.3.8,2021-05,21034.0,PRADERA,2020-06
192,4,HOMICIDIO DOLOSO,N-2.3.9,2021-05,22556.0,PRADERA,2020-06
193,0,HOMICIDIO DOLOSO,N-2.4.1,2021-05,11018.0,QUIROGA,2020-06
194,2,HOMICIDIO DOLOSO,N-2.4.10,2021-05,15962.0,QUIROGA,2020-06
195,0,HOMICIDIO DOLOSO,N-2.4.2,2021-05,9456.0,QUIROGA,2020-06
196,0,HOMICIDIO DOLOSO,N-2.4.3,2021-05,15138.0,QUIROGA,2020-06
197,2,HOMICIDIO DOLOSO,N-2.4.4,2021-05,20536.0,QUIROGA,2020-06
198,2,HOMICIDIO DOLOSO,N-2.4.5,2021-05,18305.0,QUIROGA,2020-06
199,4,HOMICIDIO DOLOSO,N-2.4.6,2021-05,30408.0,QUIROGA,2020-06
200,0,HOMICIDIO DOLOSO,N-2.4.7,2021-05,3200.0,QUIROGA,2020-06
201,4,HOMICIDIO DOLOSO,N-2.4.8,2021-05,14356.0,QUIROGA,2020-06
202,5,HOMICIDIO DOLOSO,N-2.4.9,2021-05,13509.0,QUIROGA,2020-06
203,1,HOMICIDIO DOLOSO,N-3.1.1,2021-05,13255.0,IZTACCIHUATL,2020-06
204,4,HOMICIDIO DOLOSO,N-3.1.2,2021-05,11590.0,IZTACCIHUATL,2020-06
205,1,HOMICIDIO DOLOSO,N-3.1.3,2021-05,13750.0,IZTACCIHUATL,2020-06
206,0,HOMICIDIO DOLOSO,N-3.1.4,2021-05,4650.0,IZTACCIHUATL,2020-06
207,1,HOMICIDIO DOLOSO,N-3.1.5,2021-05,6083.0,IZTACCIHUATL,2020-06
208,2,HOMICIDIO DOLOSO,N-3.1.6,2021-05,16512.0,IZTACCIHUATL,2020-06
209,2,HOMICIDIO DOLOSO,N-3.1.7,2021-05,13928.0,IZTACCIHUATL,2020-06
210,0,HOMICIDIO DOLOSO,N-3.1.8,2021-05,16877.0,IZTACCIHUATL,2020-06
211,2,HOMICIDIO DOLOSO,N-3.1.9,2021-05,13380.0,IZTACCIHUATL,2020-06
212,0,HOMICIDIO DOLOSO,N-3.2.1,2021-05,7668.0,PANTITLAN,2020-06
213,1,HOMICIDIO DOLOSO,N-3.2.10,2021-05,6185.0,PANTITLAN,2020-06
214,1,HOMICIDIO DOLOSO,N-3.2.11,2021-05,7219.0,PANTITLAN,2020-06
215,2,HOMICIDIO DOLOSO,N-3.2.12,2021-05,9907.0,PANTITLAN,2020-06
216,1,HOMICIDIO DOLOSO,N-3.2.13,2021-05,9386.0,PANTITLAN,2020-06
217,1,HOMICIDIO DOLOSO,N-3.2.14,2021-05,11567.0,PANTITLAN,2020-06
218,0,HOMICIDIO DOLOSO,N-3.2.15,2021-05,11894.0,PANTITLAN,2020-06
219,1,HOMICIDIO DOLOSO,N-3.2.16,2021-05,10457.0,PANTITLAN,2020-06
220,1,HOMICIDIO DOLOSO,N-3.2.2,2021-05,13284.0,PANTITLAN,2020-06
221,0,HOMICIDIO DOLOSO,N-3.2.3,2021-05,7691.0,PANTITLAN,2020-06
222,2,HOMICIDIO DOLOSO,N-3.2.4,2021-05,12225.0,PANTITLAN,2020-06
223,2,HOMICIDIO DOLOSO,N-3.2.5,2021-05,9220.0,PANTITLAN,2020-06
224,0,HOMICIDIO DOLOSO,N-3.2.6,2021-05,10620.0,PANTITLAN,2020-06
225,0,HOMICIDIO DOLOSO,N-3.2.7,2021-05,5990.0,PANTITLAN,2020-06
226,0,HOMICIDIO DOLOSO,N-3.2.8,2021-05,7776.0,PANTITLAN,2020-06
227,1,HOMICIDIO DOLOSO,N-3.2.9,2021-05,9209.0,PANTITLAN,2020-06
228,0,HOMICIDIO DOLOSO,N-3.3.1,2021-05,7226.0,TLACOTAL,2020-06
229,2,HOMICIDIO DOLOSO,N-3.3.10,2021-05,15248.0,TLACOTAL,2020-06
230,2,HOMICIDIO DOLOSO,N-3.3.11,2021-05,18332.0,TLACOTAL,2020-06
231,2,HOMICIDIO DOLOSO,N-3.3.12,2021-05,9000.0,TLACOTAL,2020-06
232,0,HOMICIDIO DOLOSO,N-3.3.2,2021-05,2380.0,TLACOTAL,2020-06
233,0,HOMICIDIO DOLOSO,N-3.3.3,2021-05,2806.0,TLACOTAL,2020-06
234,0,HOMICIDIO DOLOSO,N-3.3.4,2021-05,8866.0,TLACOTAL,2020-06
235,2,HOMICIDIO DOLOSO,N-3.3.5,2021-05,9789.0,TLACOTAL,2020-06
236,4,HOMICIDIO DOLOSO,N-3.3.6,2021-05,13721.0,TLACOTAL,2020-06
237,0,HOMICIDIO DOLOSO,N-3.3.7,2021-05,18974.0,TLACOTAL,2020-06
238,1,HOMICIDIO DOLOSO,N-3.3.8,2021-05,8760.0,TLACOTAL,2020-06
239,0,HOMICIDIO DOLOSO,N-3.3.9,2021-05,8901.0,TLACOTAL,2020-06
240,1,HOMICIDIO DOLOSO,N-4.2.1,2021-05,16811.0,ARENAL,2020-06
241,2,HOMICIDIO DOLOSO,N-4.2.2,2021-05,22309.0,ARENAL,2020-06
242,0,HOMICIDIO DOLOSO,N-4.2.3,2021-05,10250.0,ARENAL,2020-06
243,2,HOMICIDIO DOLOSO,N-4.2.4,2021-05,9589.0,ARENAL,2020-06
244,1,HOMICIDIO DOLOSO,N-4.2.5,2021-05,6618.0,ARENAL,2020-06
245,0,HOMICIDIO DOLOSO,N-4.2.6,2021-05,4837.0,ARENAL,2020-06
246,0,HOMICIDIO DOLOSO,N-4.2.7,2021-05,6508.0,ARENAL,2020-06
247,2,HOMICIDIO DOLOSO,N-4.3.1,2021-05,9916.0,MERCED-BALBUENA,2020-06
248,1,HOMICIDIO DOLOSO,N-4.3.10,2021-05,9749.0,MERCED-BALBUENA,2020-06
249,0,HOMICIDIO DOLOSO,N-4.3.11,2021-05,12330.0,MERCED-BALBUENA,2020-06
250,1,HOMICIDIO DOLOSO,N-4.3.2,2021-05,6463.0,MERCED-BALBUENA,2020-06
251,0,HOMICIDIO DOLOSO,N-4.3.3,2021-05,10015.0,MERCED-BALBUENA,2020-06
252,1,HOMICIDIO DOLOSO,N-4.3.4,2021-05,7676.0,MERCED-BALBUENA,2020-06
253,2,HOMICIDIO DOLOSO,N-4.3.5,2021-05,10187.0,MERCED-BALBUENA,2020-06
254,0,HOMICIDIO DOLOSO,N-4.3.6,2021-05,9859.0,MERCED-BALBUENA,2020-06
255,0,HOMICIDIO DOLOSO,N-4.3.7,2021-05,6238.0,MERCED-BALBUENA,2020-06
256,1,HOMICIDIO DOLOSO,N-4.3.8,2021-05,5309.0,MERCED-BALBUENA,2020-06
257,2,HOMICIDIO DOLOSO,N-4.3.9,2021-05,9195.0,MERCED-BALBUENA,2020-06
258,0,HOMICIDIO DOLOSO,N-4.4.1,2021-05,5774.0,CONGRESO,2020-06
259,3,HOMICIDIO DOLOSO,N-4.4.2,2021-05,6313.0,CONGRESO,2020-06
260,5,HOMICIDIO DOLOSO,N-4.4.3,2021-05,12135.0,CONGRESO,2020-06
261,5,HOMICIDIO DOLOSO,N-4.4.4,2021-05,1869.0,CONGRESO,2020-06
262,0,HOMICIDIO DOLOSO,N-4.4.5,2021-05,9.0,CONGRESO,2020-06
263,5,HOMICIDIO DOLOSO,N-4.4.6,2021-05,7687.0,CONGRESO,2020-06
264,11,HOMICIDIO DOLOSO,N-4.5.1,2021-05,14443.0,CONSULADO,2020-06
265,8,HOMICIDIO DOLOSO,N-4.5.2,2021-05,11376.0,CONSULADO,2020-06
266,4,HOMICIDIO DOLOSO,N-4.5.3,2021-05,7190.0,CONSULADO,2020-06
267,3,HOMICIDIO DOLOSO,N-4.5.4,2021-05,15715.0,CONSULADO,2020-06
268,1,HOMICIDIO DOLOSO,N-4.5.5,2021-05,10433.0,CONSULADO,2020-06
269,0,HOMICIDIO DOLOSO,N-4.5.6,2021-05,4480.0,CONSULADO,2020-06
270,0,HOMICIDIO DOLOSO,N-4.5.7,2021-05,4060.0,CONSULADO,2020-06
271,0,HOMICIDIO DOLOSO,N-4.6.1,2021-05,4767.0,MOCTEZUMA,2020-06
