,count,crime,date,population
358,970,ROBO A TRANSEUNTE C.V.,2019-11,8785911
359,897,ROBO A TRANSEUNTE C.V.,2019-12,8785911
360,906,ROBO A TRANSEUNTE C.V.,2020-01,8785911
361,917,ROBO A TRANSEUNTE C.V.,2020-02,8785911
362,895,ROBO A TRANSEUNTE C.V.,2020-03,8785911
363,515,ROBO A TRANSEUNTE C.V.,2020-04,8785911
364,525,ROBO A TRANSEUNTE C.V.,2020-05,8785911
365,532,ROBO A TRANSEUNTE C.V.,2020-06,8785911
366,685,ROBO A TRANSEUNTE C.V.,2020-07,8785911
367,726,ROBO A TRANSEUNTE C.V.,2020-08,8785911
368,683,ROBO A TRANSEUNTE C.V.,2020-09,8785911
369,767,ROBO A TRANSEUNTE C.V.,2020-10,8785911
370,737,ROBO A TRANSEUNTE C.V.,2020-11,8785911
371,773,ROBO A TRANSEUNTE C.V.,2020-12,8785911
372,728,ROBO A TRANSEUNTE C.V.,2021-01,8785911
373,767,ROBO A TRANSEUNTE C.V.,2021-02,8785911
374,743,ROBO A TRANSEUNTE C.V.,2021-03,8785911
375,639,ROBO A TRANSEUNTE C.V.,2021-04,8785911
376,662,ROBO A TRANSEUNTE C.V.,2021-05,8785911
377,127,ROBO A TRANSEUNTE S.V.,2019-01,8785911
378,214,ROBO A TRANSEUNTE S.V.,2019-02,8785911
379,227,ROBO A TRANSEUNTE S.V.,2019-03,8785911
380,178,ROBO A TRANSEUNTE S.V.,2019-04,8785911
381,175,ROBO A TRANSEUNTE S.V.,2019-05,8785911
382,153,ROBO A TRANSEUNTE S.V.,2019-06,8785911
383,141,ROBO A TRANSEUNTE S.V.,2019-07,8785911
384,158,ROBO A TRANSEUNTE S.V.,2019-08,8785911
385,139,ROBO A TRANSEUNTE S.V.,2019-09,8785911
386,165,ROBO A TRANSEUNTE S.V.,2019-10,8785911
387,198,ROBO A TRANSEUNTE S.V.,2019-11,8785911
388,167,ROBO A TRANSEUNTE S.V.,2019-12,8785911
389,174,ROBO A TRANSEUNTE S.V.,2020-01,8785911
390,138,ROBO A TRANSEUNTE S.V.,2020-02,8785911
391,140,ROBO A TRANSEUNTE S.V.,2020-03,8785911
392,85,ROBO A TRANSEUNTE S.V.,2020-04,8785911
393,77,ROBO A TRANSEUNTE S.V.,2020-05,8785911
394,90,ROBO A TRANSEUNTE S.V.,2020-06,8785911
395,130,ROBO A TRANSEUNTE S.V.,2020-07,8785911
396,133,ROBO A TRANSEUNTE S.V.,2020-08,8785911
397,164,ROBO A TRANSEUNTE S.V.,2020-09,8785911
398,148,ROBO A TRANSEUNTE S.V.,2020-10,8785911
399,148,ROBO A TRANSEUNTE S.V.,2020-11,8785911
400,148,ROBO A TRANSEUNTE S.V.,2020-12,8785911
401,130,ROBO A TRANSEUNTE S.V.,2021-01,8785911
402,141,ROBO A TRANSEUNTE S.V.,2021-02,8785911
403,171,ROBO A TRANSEUNTE S.V.,2021-03,8785911
404,125,ROBO A TRANSEUNTE S.V.,2021-04,8785911
405,136,ROBO A TRANSEUNTE S.V.,2021-05,8785911
406,10,ROBO A TRANSPORTISTA C.V.,2019-01,8785911
407,13,ROBO A TRANSPORTISTA C.V.,2019-02,8785911
408,11,ROBO A TRANSPORTISTA C.V.,2019-03,8785911
409,8,ROBO A TRANSPORTISTA C.V.,2019-04,8785911
410,11,ROBO A TRANSPORTISTA C.V.,2019-05,8785911
411,10,ROBO A TRANSPORTISTA C.V.,2019-06,8785911
412,9,ROBO A TRANSPORTISTA C.V.,2019-07,8785911
413,9,ROBO A TRANSPORTISTA C.V.,2019-08,8785911
414,10,ROBO A TRANSPORTISTA C.V.,2019-09,8785911
415,11,ROBO A TRANSPORTISTA C.V.,2019-10,8785911
416,17,ROBO A TRANSPORTISTA C.V.,2019-11,8785911
417,7,ROBO A TRANSPORTISTA C.V.,2019-12,8785911
418,5,ROBO A TRANSPORTISTA C.V.,2020-01,8785911
419,7,ROBO A TRANSPORTISTA C.V.,2020-02,8785911
420,7,ROBO A TRANSPORTISTA C.V.,2020-03,8785911
421,5,ROBO A TRANSPORTISTA C.V.,2020-04,8785911
422,7,ROBO A TRANSPORTISTA C.V.,2020-05,8785911
423,7,ROBO A TRANSPORTISTA C.V.,2020-06,8785911
424,13,ROBO A TRANSPORTISTA C.V.,2020-07,8785911
425,4,ROBO A TRANSPORTISTA C.V.,2020-08,8785911
426,8,ROBO A TRANSPORTISTA C.V.,2020-09,8785911
427,10,ROBO A TRANSPORTISTA C.V.,2020-10,8785911
428,9,ROBO A TRANSPORTISTA C.V.,2020-11,8785911
429,7,ROBO A TRANSPORTISTA C.V.,2020-12,8785911
430,10,ROBO A TRANSPORTISTA C.V.,2021-01,8785911
431,9,ROBO A TRANSPORTISTA C.V.,2021-02,8785911
432,7,ROBO A TRANSPORTISTA C.V.,2021-03,8785911
433,7,ROBO A TRANSPORTISTA C.V.,2021-04,8785911
434,4,ROBO A TRANSPORTISTA C.V.,2021-05,8785911
